,ID,Host Since,property_type,city_orig,state_orig,country_code,Country,Latitude,Longitude,postal_code,Geolocation,host_since_year,City,State,zip_latitude,zip_longitude
78,4133997,2011-10-31,Apartment,Roma,Lazio,IT,Italy,41.889126317872595,12.468194622433924,00153,"41.889126317872595, 12.468194622433924",2011.0,Roma,Lazio,41.8919,12.5113
79,12691601,2016-04-26,Apartment,Roma,Lazio,IT,Italy,41.89208896827219,12.510766044192335,00185,"41.89208896827219, 12.510766044192337",2016.0,Roma,Lazio,41.8919,12.5113
80,1159772,2013-05-03,Bed & Breakfast,Rome,Lazio,IT,Italy,41.90891140537755,12.47395510201446,00186,"41.90891140537755, 12.473955102014461",2013.0,Roma,Lazio,41.8919,12.5113
81,502597,2012-05-28,Bed & Breakfast,Rome,Lazio,IT,Italy,41.903405246378696,12.445775770231585,00136,"41.903405246378696, 12.445775770231585",2012.0,Roma,Lazio,41.8919,12.5113
82,7171703,2015-07-05,Apartment,Roma,Lazio,IT,Italy,41.88688659714097,12.508670774884749,00185,"41.88688659714097, 12.508670774884747",2015.0,Roma,Lazio,41.8919,12.5113
83,17569163,2017-03-05,Apartment,Roma,Lazio,IT,Italy,41.909889630615496,12.446728000592444,00136,"41.909889630615496, 12.446728000592445",2017.0,Roma,Lazio,41.8919,12.5113
84,5804299,2013-05-12,Apartment,Roma,Lazio,IT,Italy,41.88969757808883,12.471675986821522,00153,"41.88969757808883, 12.471675986821522",2013.0,Roma,Lazio,41.8919,12.5113
85,12151322,2013-08-08,Apartment,Roma,Lazio,IT,Italy,41.90809518236341,12.44934349710428,00192,"41.90809518236341, 12.44934349710428",2013.0,Roma,Lazio,41.8919,12.5113
86,10515869,2014-02-22,Apartment,Roma,Lazio,IT,Italy,41.891405110871474,12.5142011570026,00185,"41.891405110871474, 12.5142011570026",2014.0,Roma,Lazio,41.8919,12.5113
87,6855985,2014-09-25,Bed & Breakfast,Roma,Lazio,IT,Italy,41.89175897848545,12.512788948028104,00185,"41.89175897848545, 12.512788948028103",2014.0,Roma,Lazio,41.8919,12.5113
88,3785762,2014-06-19,Apartment,Rome,Lazio,IT,Italy,41.90789090472525,12.446647861467548,00136,"41.90789090472525, 12.446647861467547",2014.0,Roma,Lazio,41.8919,12.5113
89,17087445,2016-08-27,Apartment,Roma,Lazio,IT,Italy,41.902481882383725,12.485774608175998,00187,"41.902481882383725, 12.485774608175998",2016.0,Roma,Lazio,41.8919,12.5113
90,10650508,2014-08-15,Bed & Breakfast,Roma,Lazio,IT,Italy,41.90121245814246,12.495323930142812,00184,"41.90121245814246, 12.495323930142813",2014.0,Roma,Lazio,41.8919,12.5113
91,17132732,2014-10-19,Apartment,Roma,Lazio,IT,Italy,41.89088463462935,12.4669012907943,00153,"41.89088463462935, 12.466901290794299",2014.0,Roma,Lazio,41.8919,12.5113
92,1282712,2013-06-03,Apartment,Rome,Lazio,IT,Italy,41.88818501571586,12.511122737240134,00185,"41.88818501571586, 12.511122737240134",2013.0,Roma,Lazio,41.8919,12.5113
93,773611,2010-12-11,Apartment,Rome,Lazio,IT,Italy,41.9101877583314,12.479487100954575,00187,"41.9101877583314, 12.479487100954577",2010.0,Roma,Lazio,41.8919,12.5113
94,181560,2011-07-26,Apartment,Rome,Italy/Roma/Lazio,IT,Italy,41.90258041365499,12.487995994083754,00187,"41.90258041365499, 12.487995994083754",2011.0,Roma,Lazio,41.8919,12.5113
95,17358335,2013-01-16,Bed & Breakfast,Roma,Lazio,IT,Italy,41.898235674531094,12.504732679030328,00185,"41.898235674531094, 12.504732679030328",2013.0,Roma,Lazio,41.8919,12.5113
96,7402084,2014-11-15,Bed & Breakfast,Roma,Lazio,IT,Italy,41.89497407368622,12.491555817211978,00184,"41.89497407368622, 12.491555817211978",2014.0,Roma,Lazio,41.8919,12.5113
97,4890145,2014-05-04,Apartment,Roma,Lazio,IT,Italy,41.89774496795101,12.483120270851307,00148,"41.89774496795101, 12.483120270851307",2014.0,Borgata Corviale,Lazio,41.8919,12.5113
98,4890145,2014-05-04,Apartment,Roma,Lazio,IT,Italy,41.89774496795101,12.483120270851307,00148,"41.89774496795101, 12.483120270851307",2014.0,Roma,Lazio,41.8919,12.5113
99,1687024,2013-09-18,Apartment,Rome,Lazio,IT,Italy,41.89620419478504,12.471362091160746,00186,"41.89620419478504, 12.471362091160746",2013.0,Roma,Lazio,41.8919,12.5113
